"notes","term","priref"
"Refers to the cultures of the continent of South America, which is bounded by the Pacific Ocean, the Atlantic Ocean, Central America, and the Antarctic region.","South American","1013"
"Describes to the style of Renaissance Venice beginning in the late 1400s, led by the brothers Giovanni and Gentile Bellini. The Venetian School painters employed the use of linear perspective and naturalistic figurative treatments of Renaissance art in Florence and Rome. Artists associated with the Venetian school are Giorgione (c. 1477–1510), Titian (c. 1489–1576), Tintoretto (1518–1594), Paolo Veronese (1528–1588) and Jacopo Bassano (1510–1592) and his sons. Venetian school painters contrasted with the Mannerism prevalent in the rest of Italy, and influenced the subsequent development of Western painting.","Venice School","1015"
"Refers to the style of painting popular in the early 1960's in Paris, London and New York. Reacting against Absract Expressionism, the style is characterized by a return of figurative images.","Figuration Libre","1021"
"People who formulate works of performance art. For people in the traditional performing arts, use ""performing artists.""","performance artist","1109"
"Refers to the emotional, intellectual, and physiological condition of sexual arousal. Use also for the capacity or quality of inspiring such arousal through suggestion, symbolism, or allusion.","eroticism","1118"
"Refers to the culture of the modern nation of Yugoslavia, or to the culture of the nation of the same name that existed from 1918 to 1992 and had a larger area. It may also refer generally to the culture of the various groups of southern Slavs, including the Serbs, Croats, and Slovenes.","Yugoslav","1137"
"Refers to the culture of the modern nation of the Czech Republic, or in general to cultures that have occupied the area of the modern nation in central Europe. It is also used to refer broadly to the culture of the Bohemian people.","Czech","1143"
"The cultures, styles, and periods characteristic of China. To specifically refer to the cultures of ancient Chine, use ""Ancient Chinese.""","Chinese","1156"
"Persons responsible for the intellectual content of books or other writings, namely those who write or otherwise compose books, articles, poems, plays, or other works which involve literary composition. The works are often, but not always, intended for publication.","author","1185"
"Refers to the movement or style evolving from Photorealism in the United States and Europe. Historically the term has often been used interchangeably with Photorealism. Hyperrealism may now be considered a separate idiom, particularly since the early 2000s. Hyperrealist works use photographic images as sources to make even more exacting renderings of subject matter. Hyperrealist painting and sculpture often incorporates narrative, emotive, or political content, unlike Photorealist works, which attempted to eschew subjectivity through precise rendering of the photographs themselves.","hyperrealism","1198"
"Describes the culture and style of Aboriginal Australians and current inhabitants of Australia, such as rock art, sculpture in wood, clay and sand, body decoration and bark painting, created both before and after European colonization.","Australian","1243"
"Refers to the culture of the island of Ireland, which is located west of England on the Irish Sea and is currently divided administratively between the Republic of Ireland and Northern Ireland. It often refers specifically to the Celtic culture of the island of Ireland.","Irish","1271"
"","Florence School","1291"
"Artists who use the medium of glass.","glass artist","1336"
"","Venezuelan","1408"
"","Cuban","1411"
"","Colombian","1437"
"","Die Brücke","1490"
"","Chilean","1518"
"Refers to the modern or historical cultures of the region of Scandinavia, which is the historic land of the Norseman in northern Europe, comprising the areas of the modern nations of Denmark, Norway, and Sweden, and sometimes understood to extend to the territory of modern Finland and Iceland.","Scandinavian","1567"
"Refers to the culture of the modern nation of Croatia, or in general to the cultures that have occupied the area in central Europe corresponding to the modern nation. It may refer broadly to the culture of the Slavic Croat peoples who came out of the Ukraine in the seventh century CE.","Croatian","1594"
"People, firms, or corporate bodies responsible for placing a book or other work on the market for sale or distribution to the public. For those active before about 1800, see ""booksellers.","publisher","1622"
"Verwijst naar de cultuur van de moderne natie IJsland, of in het algemeen naar de culturen die dit eiland hebben beheerst, dat ligt aan de rand van de Noordelijke IJszee, tussen Noorwegen en Groenland.","Icelandic","1638"
"Verwijst naar de cultuur van de moderne natie Litouwen, of in het algemeen naar de culturen die deze staat aan de Oostzee hebben beheerst.","Lithuanian","1719"
"Refers to art created by non-professional artists or artisans who have not had formal training and are often self-taught. It typically displays the artist's poor grasp of anatomy and lacks mastery of conventional perspective and other hallmarks of trained artists. It includes painting, sculpture, embroidery, quilts, toys, ships' figureheads, decoys, painted targets, and other objects, and often refers to such objects created specifically in 19th- and 20th-century Europe and North America. It is generally distinguished from ""outsider art,"" which includes the more extravagant psychotic drawings and other art created or collected according to a philosophy of the avoidance of, rather than simply a lack of, traditional training. It is also usually distinct from ""folk art,"" which is created according to specific cultural traditions.""","naive art","1816"
"","Haitian","1819"
"","Lombardy School","1895"
"Pertains to the style and culture of modern Iran. Although modern Iran was known as Persia until 1935, art and architecture of ancient Iranian civilizations dates back to prehistoric times.","Iranian","2002"
"Tekeningen, prenten of andere afbeeldingen waarin planten en hun delen worden geïllustreerd, vaak nauwkeurig nagetekend.","botanical illustration","2241"
"Representations of Jewish life, both everyday and religious.","Jewish genre","2618"
"Objects or materials concerning characteristics of American civilization or culture.","Americana","2772"
"Refers to the German and Austrian variation of Art Nouveau, named after the magazine ""Jugend"" that had been published in Munich since 1896. The style differs from Belgian and French Art Nouveau by a more restrained use of decoration. Jugendstil replaced the exuberance and naturalism of other Art Nouveau styles with a comparatively subdued aesthetic that was often almost unrecognizably, or not at all derived from nature.""","Jugendstil","3043"
"Refers to a painting style and art theory identified with a group of French artists between 1886 and 1906. The term was coined by the art critic Félix Fénéon in a review of the eighth and last Impressionist exhibition (1886), in which Camille Pissarro, Lucien Pissaro, Paul Signac and Georges Seurat exhibited their work in one room, asserting a shared vision. Other artists who practiced the style were Charles Angrand, Louis Hayet, Henri Edmond Cross, Léo Gausson, Hippolyte Petitjean, Albert Dubois, and Maximilien Luce. Seurat is considered the outstanding artist of the movement. Neo-Impressionism both developed out of Impressionism and was a reaction against it. Like Impressionism, Neo-Impressionism was concerned with light and color but while the former was typically spontaneous and empirical, the later was based more on scientific principles and resulted in formalized compositions. The associated technique is referred to as pointillism and the associated theory is referred to as divisionism, although the two terms are often used interchangably and are also both used to refer to the style and movement. While relatively short-lived, the movement had a large impact on other artists and movements of the late 19th and early 20th centuries.
","Neo-Impressionism","3063"
"An informal group of painters that was centered in the village of Barbizon around the edge of the Forest of Fontainebleau. Influenced by John Constable and 17th century Dutch landscape painters, the Barbizon painters were concerned with depicting naturalistic settings and the dignity of peasant life. Theodore Rousseau, the unofficial leader of the School, moved to the Fontainebleau region in 1841 and began acquiring disciples, such as Jean-Francois Millet, who would later become the most renown member of the Barbizon School, and whose work had more overt socialist overtones. Because of their non-traditional approach to subject matter, it took until the 1850's for the individual members of the School to become critically accepted. Rousseau, in fact, had been rejected by the Salons so often he garnered the nickname 'le grande refuse'. After several decades of success, the movement lost popularity with Millet's death in 1875. Though often seen as a transitional movement between classical landscape painting and Impressionism, the Barbizon School's importance lies with their plein-air landscape technique and humble, unpretentious subject matter.","Barbizon School","3103"
"People who create conceptual schemes for the organization or appearance of graphic works, objects, structures, or systems.","designer","3115"
"Schildertechniek waarbij tinten en kleurschakeringen ontstaan door het regelmatig aanbrengen van kleine stippen ongemengd pigment op het canvas, zodat ze voor het oog in elkaar overvloeien. De term ‘pointillisme’ verwijst alleen naar de techniek, terwijl ‘neo-impressionisme’ verwijst naar zowel de door Georges Seurat ontwikkelde stijl als de daaruit voortkomende beweging die tussen 1886 en 1906 zijn bloeiperiode had. Seurat zelf gaf de voorkeur aan de term 'chromo-luminarism', waaruit blijkt dat hij zowel licht- als kleureffecten wilde intensiveren. De Franse criticus Félix Fénéon bedacht de term 'peinture au point' in 1886 na het zien van Seurat's 'La Grande Jatte'. Paul Signac stelde de alternatieve term 'divisionisme' voor in zijn boek 'D'Eugène Delacroix au Néo-Impressionnisme' (1899).","pointillism (painting technique)","3252"
"People or corporate bodies that represent artists and engage in the buying and selling of works of art.","art dealer (person)","3342"
"Winkelpanden waarin voor verkoop bedoelde kunstwerken worden tentoongesteld.","art gallery","3493"
"Refers to the culture of the modern nation of Slovenia, or in general to the cultures that have occupied the area in central Europe corresponding to the modern nation. It may refer broadly to the culture of the southern Slavonic groups of peoples, who dwelled in southern Austria and in Slovenia.","Slovene","3900"
"Those skilled in creating specialized lettering by hand.","calligrapher","4025"
"Representations depicting fishing life, generally from the 19th and early 20th centuries.","fishing genre","4390"
"Representational style sanctioned by the government in Communist countries. For works depicting realistic situations with a tone of social protest, use ""social realism.""","Social Realism","4448"
"Those who specialize in the science and art of calculating and representating the earth's surface or a part of it on a flat surface. For artists who make maps, use ""mapmakers.""","cartographer","4524"
"Refers to the culture of the modern republic of Serbia, or in general to the cultures that have occupied the area south of the Danube river on the Balkan Peninsula. It may also refer to the broader historical or modern culture of the south Slavonic people who speak Serb.","Serbian","4731"
"Nationaliteit, cultuur of stijl van Estland, een land dat zich uitstrekt langs de zuidkust van de Finse Golf.","Estonian","5883"
"Nationaliteit, stijlen of cultuur van Malta, een Zuid-Europese eilandstaat en tegenwoordig een natie in de Middellandse Zee.","Maltese","6450"
"","Puerto Rican","6566"
"Criminals who make fraudulent copies of paper documents or coins. May also generally refer to criminals who imitate with intention to deceive.","counterfeiter","6596"
"","Bolivian","6730"
"","Avignon School","6986"
"","Bologna School","7165"
"","Rome School","7348"
"Refers to the style and culture of the former nation of Czechoslovakia (1918-1993).","Czechoslovakian (hist.)","9247"
"Nationaliteit, stijlen en cultuur van Suriname in het noorden van Zuid-Amerika.","Surinamese","9262"
"","Worpswede School","10069"
"Refers to the international avant-garde art and literary movement begun officially in 1962, and active throughout the 1960s and 1970s. Taking its name from the Latin word for ""flowing,"" the movement advocated purging the world of bourgeois, commercial, and professional art. The style is characterized by the creation of multimedia and intermedia works used in street art events and concerts.""","Fluxus","10699"
"","Bergamo School","11572"
"Nationaliteit, cultuur of stijlen van Slowakije in Midden-Europa.","Slovak","12329"
"Nationaliteit, cultuur of stijl van Letland, in het Oostzeegebied in Noord-Europa.","Latvian","13680"
"","Fundamental Painting","14094"
"Refers to the Italian art movement of the 1970s that was analogous to the Minimalist and Conceptual Art movement in North America. The style is characterized by the use of intentionally humble and worthless materials, and artistic expression through happenings and installations, with often obscure or conflicting meanings.","Arte Povera","14997"
"Of or belonging to the nation of Peru or its people.","Peruvian","16157"
"Refers to a style of painting that developed in Regensburg, Germany, and elsewhere along the Danube river during the Renaissance and Reformation. It is characterized by a renewed interest in medieval piety, an expressive use of nature, the relationship of the human figure and events to nature, and the introduction of landscape as a primary theme in art. The term was coined by Theodor von Frimmel (1853-1928), who believed that painting in the Danube River region around Regensburg, Passau, and Linz possessed common characteristics; the style seems to exist even though leading artists did not form a school in the usual sense of the term, since they did not work in a single workshop or in a particular center. Major artists whose work represents the style include Lucas Cranach the elder and Albrecht Altdorfer.","Danube style","16703"
"Artist works that manipulate natural earth and stone, altering the terrain of the land itself for artistic purposes. For large-scale outdoor works that otherwise exploit or incorporate aspects of their sites, use the more general term ""environmental art."" For the results of grading, trenching, or embanking earth, for utilitarian purposes, use ""earthworks (engineering works).""","land art","16736"
"French painting similar to American Action Painting, including that of the late 1940s sometimes called Abstraction Lyrique. Use ""Lyrical Abstraction"" for the continuation of Abstract Expressionism into the 1960s and 1970s (e.g., Guston, Frankenthaler).""","Tachism","17166"
"","Uruguayan","19859"
"","Pont-Aven School","20547"
"Refers to the cultures that developed in the region situated along the eastern coast of the Indochinese Peninsula known as modern North and South Vietnam. Artistic production in this region features a broad scope and an intermingling of styles, featuring dynastic temple construction that included variations of tower shrines, sanctuaries, porticoes, molded capitals, and recesses, and grandiose and refined sculptural programs featuring monster figures that decorated corners of architraves, figures of lions, solid snake-like ornamentation reminiscent of Indo-Khmer foliage motifs and Dong Song styles, and large icons and relief panels carved in sensual styles suggestive of Chen-la works. From the 15th through 18th centuries, architectural planning incorporated Confucian and Taoist elements and sculptural styles of this period feature elaborately-colored woodwork based upon the dragon-and-cloud decoration of the Ming and Ch'ing Dynasties of China.","Vietnamese","22457"
"Nationality and culture of the modern nation of Syria, the Syrian Arab Republic.","Syrian","23559"
"A style developed in the mid 20th century, characterized by simplicity and lack of decoration to the point of starkness. The movement advocated reducing art to the state of non-art by removing nature and culture, resulting in artwork in pure, simple forms and objects placed randomly. The term can be extended to all art, including literature, design, music, visual art, and performance. With specific reference to the visual arts, the term is used to describe an abstract art movement and style, predominantly of sculpture, that flourished in the mid- and late 1960s. With specific reference to music, it refers to a style that emerged in the United States in the 1960s featuring prolonged repetition of short passages and unvarying harmonies.","minimal art","23594"
"Specifically refers to the work of the ""Lukasbrüder:"" a group founded in Vienna, 1809, by Friedrich Overbeck, later derisively called ""Nazarenes."" The style is antiacademic and emulates techniques of the late Medieval and early Renaissance period, particularly Dürer and Perugino, and places an emphasis on Christian values and morality in art over technical virtuosity.""","Nazarene (style)","23595"
"Refers to the style in fine arts originating from the Pre-Raphaelite Brotherhood, a group of English artists active from 1848 to 1853. Inspired by Italian art prior to Raphael, the style is characterized by Romantic and Medieval themes with moral undertones, bright colors, and close-knit, detailed compositions.","Pre-Raphaelite","23620"
"Style of painting that was primarily employed by a loosely associated group of late 19th-century Italian artists seeking a distinctly Italian avant-garde style. It uses hatching, dashes, or patches of colors to visually achieve a luminous optical effect, rather than physically mixing colors of paint. At close viewing, a Divisionist canvas is a mass of contrasting marks; at a distance, the colors are intended to visually enhance each other and produce an effect of shimmering luminosity. The style that specifically uses dots of color is usually called ""Pointillist"" in modern usage. While French painters using this or a similar style may be called ""Neo-Impressionist,"" for Italian painters, it is common to call them ""Divisionist."" The Italian artists' style was considered both autonomous from their other European counterparts and pioneering of Modernism.","Divisionism","23694"
"Refers to the work of a group of artists exhibiting in London in the late 1980s and 1990s. Reacting against Minimalist and Conceptualist art, the work is characterized by an emphasis on multimedia, slick and self-conscious promotion of artwork and exhibitions, clever, literary titles and ironic, shocking imagery.","Young British Artists","24047"
"Style and culture of the people of Senegal.","Senegalese","24164"
"Style and culture of the people of the nation of Ghana.","Ghanaian","26495"
"People or corporate bodies who design and construct stained glass works, which are windows or other objects made of glass colored by adding metallic oxides to the molten glass.","glazier","26608"
"Style and culture of the people of Angola, a republic (formerly a Portuguese colony) in southwestern Africa.","Angolan","26682"
"Nationality, styles, and cultures of the people of the Democratic Republic of Congo.","Congolese","26689"
"Style and culture of the people of the modern nation of Ethiopia or of the ancient peoples known as the AEthiopes.","Ethiopian","26694"
"Style and culture of the Ivory Coast.","Ivorian","26700"
"Style and culture of the nation of Cameroon, lying at the junction of western and central Africa.","Cameroonian","26702"
"Style and culture of Kenya.","Kenyan","26703"
"Style and culture of inhabitants of the large ancient country, Libya, in North Africa, or of the modern state of Libya.","Libyan","26706"
"Style and culture of the nation of Mozambique.","Mozambican","26713"
"","Nigerian","26716"
"The style and culture of Zimbabwe or of Black Rhodesians in the former Rhodesia.","Zimbabwean","26732"
"Refers to the culture of the southern Netherlands, roughly corresponding to modern Belgium, Luxembourg, and part of France, particularly during the historical period when Flanders was an independent principality.","Flemish","26859"
"Verwijst naar de stijl en cultuur van het moderne Georgië.","Georgian (West Asian)","26873"
"Nationality, style, and culture of Costa Rica, in Central America.","Costa Rican","27786"
"Nationaliteit, cultuur en stijl van de Dominicaanse Republiek op het eiland Hispaniola, deel van de eilandengroep de Grote Antillen in de Caraïben.","Dominican","27787"
"","Nicaraguan","27790"
"","Paraguayan","27791"
"Zij die zijn gespecialiseerd in het recenseren van kunst.","art critic","27796"
"Nationaliteit of cultuur van Singapore, een eiland in Zuidoost-Azië.","Singaporean","27846"
"","Sri Lankan","27934"
"De cultuur en stijl die verbonden is aan de hedendaagse Republiek Macedonië in Zuidoost-Europa.","Macedonian","27945"
"","Macchiaioli","28222"
"","post-cubism","28291"
"Metalworkers who specialize in working with silver, especially in the making of jewelry, flatware, and tableware.","silversmith","28583"
"People who are notably skilled in the art of building, particularly those who have achieved proficiency in one of the building arts and are licensed or qualified to supervise construction.","master builder","28616"
"Persons who prepare, conceive, and develop drawings and other art work and prepare printmaking media used to print fine arts graphics. For persons in the commercial printing trade, use ""printers (people).""","print artist","28617"
"Exaggerated, distorted representations of a subject in art or literature; in art, refers particularly to representations, often portraits, that exaggerate certain features or characteristics to humorous or ludicrous effect.","caricature","28810"
"Artists who create decorative arts, which are primarily utilitarian in form or function, but that have aesthetic value provided by the design, decoration, or embellishment, including ceramics, furniture, textiles, and other household or utilitarian objects.","decorative artist","29148"
"Representations of representatives of the lower classes, at work or at rest. The term includes workers in the fields as well as factory workers in art from the 19th century onward.","depiction of laborers","29217"
"Raised, defensible works erected within a fortified place or by besiegers to command enemy positions within firing range.","cat (fortification element)","29270"
"","Amsterdam Joffers","29339"
"Representations of culture, nature and daily life in the former Dutch East Indies and present Indonesia.","Indonesian genre","29435"
"Studio's waarin een of meerdere meesterontwerpers werken maken, toezicht houden op assistenten en leerlingen instrueren.","design studio","29718"
"General term for organized groups whose members are artists.","artists' group","29719"
"Verwijst naar de cultuur van de moderne natie Oekraïne, of naar de culturen die de belangrijkste gebieden van het historische Oekraïne in Oost-Europa ten noorden van de Zwarte Zee hebben beheerst.","Ukrainian","29745"
"Those who write, invent, promote, investigate or propound a theory or theories about the visual arts.","art theorist","29772"
"Refers to the culture of the island of Cyprus, particularly during the Bronze Age from about 2300 to 1050 BCE.","Cypriote","29812"
"Nationaliteit of cultuur van Monaco, een klein onafhankelijk vorstendom aan de Middellandse Zeekust, verder omringd door Frankrijk.","Monégasque ","29813"
"Nationaliteit, stijl en cultuur of Jemen in West-Azië.","Yemeni","29850"
"Nationality, style, and culture of Moldova in eastern Europe.","Moldovan","29861"
"","Uzbek","29877"
"Refers to the cultures that flourished in the region of the modern nation of Malaysia composed of the Malay Peninsula and the eastern region of the island of Borneo. The style of art in this region is a synthesis of indigenous and external cultural influences from China, India, the Arabic world, and the West facilitated through colonization and trade. Painting and sculpture in this region rarely depict the human figure because of Islamic religious restrictions. Production in decorative arts is more extensive, featuring batik cloths and other elaborate textiles, silverware, handmade kris, wood carvings, basketwork, and other various handicrafts.","Malaysian","30170"
"Representations that are not a representation of things from visual reality, but achieve their effect with form and color.","abstraction","30213"
"Collectors who specialize in acquiring fine art.","art collector","31823"
"Generally, a person who collects specimens, works of art, curiosities.","collector","31824"
"Nationaliteit, stijlen of cultuur van Taiwan in Oost-Azië.","Taiwanese","32194"
"Nationality, culture, or style of the modern nation of Mongolia. For the historical Central Asian ethnographic group of closely related tribal peoples who live mainly on the Mongolian Plateau, use ""Mongol (culture or style).""","Mongol","32317"
"Refers to the style and culture of the region known as modern Thailand. Artistic production primarily focuses on the crafting of porcelain and pottery, painting, sculpture, and architecture, and exhibits stylistic influences from China, India, and other regions and cultures in Southeast Asia. Temple styles in the region specifically imitate Hindu and Buddhist models with unique variations.","Thai","32318"
"Representation of characteristics of Asian art or culture appearing in Western practice.","orientalism","32529"
"Those who specialize in art history.","art historian","32785"
"Persons who superintend or manage the collections, exhibitions, research activities, and personnel of a museum, art gallery, zoo, or other place of exhibit; also, the superintends or managers of a single collection or subject of study in such an institution.","curator","32791"
