"priref","term","termbeschrijving"
"282","Indonesisch","Verwijst naar de culturen en stijlen van Indonesië, en weerspiegelt de vermenging van verschillende regionale culturen uit het vasteland van Zuidoost-Azië en Oceanië. De stijl is over het algemeen beïnvloed door de filosofieën van het boeddhisme, hindoeïsme en de islam. Beeldhouwkundige productie in de regio wordt over het algemeen gekenmerkt door megalithische monumenten zoals menhirs, dolmens, stenen sarcofagen, terrasvormige grafheuvels, grote stenen die zijn uitgehakt in de vorm van dieren en mensen, en stenen schedeltroggen. Vroege beeldhouwstijlen in de regio worden gekenmerkt door gelijkmatige vlakken, welvingen, emotieloze uitdrukkingen en bewegingloosheid. Ornamentele werken uit deze regio imiteren Chinese Chou- en pre-Han-werken en tonen bronzen trommels met gemodelleerde flenzen en reliëfornamenten die bestaan uit gestileerde maskers met oorpiercings. Door Indiase stijl geïnspireerde werken worden gekenmerkt door verfijnde bronzen Boeddha's en bodhisattva's. In de architectuur wordt de stijl gekenmerkt door tempelcomplexen die bekend staan als tjandi's en candi's."
"288","Japans","Nationaliteit, perioden, culturen en stijlen in Japan, in historische tijden of in het heden."
"291","medailleur","Ontwerpers, graveurs of makers van medailles en penningen"
"307","Oostenrijks","Verwijst naar de cultuur van het tegenwoordige Oostenrijk, of naar de cultuur in Centraal Europa in het gebied dat het huidige Oostenrijk beslaat."
"345","Schots","Verwijst naar de cultuur van het hedendaagse Schotland, of in zijn algemeenheid naar beschavingen die in het noordelijk deel van het eiland Groot- Brittannië hebben bestaan."
"349","Zweeds","Verwijst naar de cultuur van het huidige Zweden, of in het algemeen naar culturen die waren gevestigd in het gebied van het oostelijk deel van het Scandinavische schiereiland in Noordwest-Europa."
"356","Zwitsers","Verwijst naar de cultuur van het huidige Zwitserland, of in het algemeen naar de culturen die waren gevestigd in het Alpengebied van Noordwest-Europa, ten noorden van Italië en ten westen van Oostenrijk."
"363","glasschilder","In algemene zin, schilders die afbeeldingen of decoraties aanbrengen op de voor- of achterzijde van glazen objecten of glasplaten. Verwijst met name naar de kunstenaars die gebrandschilderd glas maakten, in het bijzonder de fijne details op vensters en vensterpanelen."
"366","Turks","Verwijst naar de cultuur en stijlen van de Turken, een groep die diverse etnische groepen omvat die vroeger een nomadenbestaan leidden op de uitgestrekte Euraziatische steppe en die Turkse talen spraken; of naar Turkije, een land in Klein-Azië en Zuidoost-Europa met kustlijnen aan de Egeïsche, Zwarte en Middellandse Zee."
"388","hofschilder","Schilders in dienst van een koninklijk of edel hof."
"468","havengezicht","Voorstellingen van havens aan zee of in een rivier, bestaande uit een kade en omringende bebouwing, waar schepen aanleggen of kunnen aanleggen."
"471","Düsseldorfer Malerschule","Definitie W.R. Juynboll : Richting in de Duitse schilderkunst, die haar naam dankt aan de Akademie te Düsseldorf, waar zij door Wilhelm von Schadow sinds diens benoeming tot directeur in 1826 gepropageerd werd en tot in de 20ste eeuw voortleefde. Zij wordt gekenmerkt door een mengsel van realisme en idealisme, waarin men op een veelal huisbakken wijze weerspiegeld vindt wat te Belijn en te München (Nazarener) karakter bezit. [...] De D.S. heeft op het gebied van het landschap de beste prestaties geleverd (Winkler Prins van de Kunst, dl. 1, Bussel/Amsterdam 1958, p. 561)."
"496","keramist","Personen die zich bezighouden met keramiek, het vervaardigen of de technologie ervan."
"504","Roemeens","Verwijst naar de cultuur van het huidige Roemenië, of in het algemeen naar de culturen die zich in de streek van Zuidoost- Europa en het westen van de Zwarte Zee hebben voorgedaan. Soms wordt deze term ook gebruikt om te verwijzen naar de cultuur van de Roma of zigeuners."
"515","Argentijns","Van of behorend tot het land Argentinië of de Argentijnen."
"547","jachtvoorstelling","Voorstellingen van de jacht door mensen op dieren, eventueel met behulp van andere dieren als honden en valken, alsmede alle jachtvoorstellingen van dieren onderling."
"581","Nieuw-Zeelands","Beschrijft werken die zijn vervaardigd door de bewoners van Nieuw-Zeeland."
"609","amateur","Personen die zich als hobby in plaats van beroepshalve bezighouden met een bepaalde activiteit, studie of wetenschap."
"624","Israëlisch","Wordt alleen gebruikt om te verwijzen naar kunst en architectuur van na 1948."
"686","Canadees","De cultuur en nationaliteit van de mensen in het huidige land Canada."
"718","Koreaans","Cultuur en stijl van volkeren op het Oost-Aziatische schiereiland Korea."
"791","Portugees","Verwijst naar de cultuur van de huidige natie Portugal, of meer algemeen naar de culturen die hetzelfde gebied op het westelijk deel van het Iberisch schiereiland hebben bewoond."
"812","Armeens (oude stijl en cultuur)","Verwijst naar de cultuur van Armenië in een gebied dat ongeveer overeenkomt met het huidige Armenië en het midden en oosten van Turkije, in het bijzonder van de 4de tot de 7de eeuw tijdens de zogenoemde klassieke periode in de Armeense kunst."
"841","Braziliaans","Van of behorend tot het land Brazilië of de Brazilianen."
"879","Mexicaans","Cultuur en nationaliteit van het land Mexico of de Mexicanen."
"891","Fins","Verwijst naar de cultuur van de moderne natiestaat Finland, of meer in het algemeen naar culturen op het grondgebied van Noord-Europa ten zuiden van Noorwegen en ten oosten van de Botnische Golf. De term kan ook specifiek verwijzen naar de cultuur van de historische Finnen, naar algemeen wordt aangenomen de Suomi of Suomelaisset wier taal tot de Oeral-Altaïsche groep behoorde. De term kan in ruimere zin ook betrekking hebben op de culturen van andere volken die etnisch en linguïstisch nauw verwant zijn met de Suomi."
"908","Zuid-Afrikaans","Stijl en cultuur van mensen uit Zuid-Afrika."
"919","Kozak (stijl of cultuur)",""
"920","militairengenre","Voorstellingen van leden uit alle rangen van het leger, zowel in functie als daarbuiten."
"921","Indiaas","Verwijst naar de cultuur van de tegenwoordige staat India, of in bredere zin naar de culturen die tot ontwikkeling kwamen op het subcontinent India, dat wordt begrensd door de Arabische Zee, de Indische Oceaan, de Baai van Bengalen en het Himalayagebergte. De term kent overigens een nog ruimere betekenis en verwijst dan naar de culturen van India, Oost-Indië en het voormalige Brits-Indische rijk. Voorheen kon de term ook in minder specifieke zin verwijzen naar iedere oosterse of Aziatische cultuur."
"993","Algerijns","Stijl en cultuur van de mensen uit Algerije of Algiers in Noord-Afrika."
"1001","Tunesisch",""
"1006","Marokkaans","Stijl en cultuur van het land Marokko of zijn historische gebiedsdelen."
"1013","Zuid-Amerikaans","Verwijst naar de culturen van het Zuid-Amerikaanse continent, dat wordt omgrensd door de Grote Oceaan, de Atlantische Oceaan, Midden-Amerika en Antarctica."
"1015","School van Venetië",""
"1021","Figuration Libre","Verwijst naar de schilderstijl die in de vroege jaren 60 van de 20ste eeuw populair was in Parijs, Londen en New York. De stijl was een reactie op het Abstract expressionisme, en kenmerkt zich door de terugkeer van figuratieve afbeeldingen."
"1109","performancekunstenaar","Mensen die performance art ten uitvoer brengen. Gebruik 'uitvoerend kunstenaars' voor artiesten die de traditionele uitvoerende kunsten beoefenen."
"1118","erotiek","Te gebruiken voor de emotionele, intellectuele en fysiologische toestand van een seksuele opwinding. Wordt ook gebruikt voor het kunnen inspireren van een dergelijke opwinding door middel van suggestie, symboliek of toespeling."
"1137","Joegoslavisch (hist.)","Verwijst naar de cultuur van de moderne natie Joegoslavië, of naar de cultuur van het gelijknamige land dat bestond van 1918 tot 1992 en een groter gebied omvatte. In het algemeen verwijst deze term naar de cultuur van verschillende Zuid-Slavische volken, waaronder Serviërs, Kroaten en Slovenen."
"1143","Tsjechisch","Verwijst naar de cultuur van het huidige Tsjechië, of in het algemeen naar de culturen op het grondgebied van het huidige Tsjechië in Centraal Europa. De term wordt ook in bredere zin gebruikt om te verwijzen naar de cultuur van het Boheemse volk."
"1156","Chinees","De culturen, stijlen en perioden die kenmerkend zijn voor China. Gebruik 'Oud-Chinees' om specifiek te verwijzen naar de culturen van het oude China."
"1185","auteur","Personen die boeken, artikelen, gedichten, toneelstukken of andere werken schrijven of op andere wijze samenstellen, waarbij literaire compositie betrokken, met de bedoeling deze te publiceren."
"1198","hyperrealisme","Verwijst naar de beweging of stijl die zich in de Verenigde Staten en Europa uit het fotorealisme ontwikkelde. De term werd vroeger vaak door elkaar gebruikt met 'fotorealisme'. Tegenwoordig, met name sinds het begin van de 21ste eeuw, kan 'hyperrealisme' als afzonderlijk idioom worden gebruikt. Hyperrealistische werken gebruiken fotografische beelden als bron om de onderwerpen zeer exact weer te kunnen geven. Hyperrealistische schilder- en beeldhouwkunst heeft vaak narratieve, emotieve of politieke inhoud, in tegenstelling tot fotorealistische werken, waarin getracht werd alle subjectiviteit te vermijden door middel van een nauwkeurige weergave van foto's."
"1243","Australisch","Beschrijft de diverse soorten kunstwerken die zijn vervaardigd door de Australische Aboriginals en de huidige inwoners, zoals rotskunst, beeldhouwwerken in hout, klei en zand, lichaamsdecoratie en bastschilderwerk, zowel voor als na de kolonisatie door de Europeanen."
"1271","Iers","Verwijst naar de cultuur op het eiland Ierland, gelegen ten westen van Engeland in de Ierse zee. Het eiland is momenteel bestuurlijk verdeeld in de Republiek Ierland en Noord-Ierland. Verwijst dikwijls specifiek naar de Keltische cultuur op het eiland Ierland."
"1291","School van Florence",""
"1336","glaskunstenaar","Kunstenaars die het medium glas gebruiken."
"1408","Venezolaans",""
"1411","Cubaans",""
"1437","Colombiaans",""
"1490","Die Brücke",""
"1518","Chileens",""
"1567","Scandinavisch","Verwijst naar de moderne of historische culturen in de Scandinavische regio. Dit is het historische grondgebied van de Noormannen in Noord- Europa, en omvat de moderne naties Denemarken, Noorwegen en Zweden. In sommige gevallen worden ook Finland en IJsland ertoe gerekend."
"1594","Kroatisch","Verwijst naar de cultuur van het huidige Kroatië, of in het algemeen naar de culturen in Centraal-Europa waar tegenwoordig Kroatië ligt. In een ruimer verband kan de term verwijzen naar de cultuur van de Slavische Kroatische volkeren die uit de Oekraïne kwamen in de 7de eeuw n. Chr."
"1622","uitgever","Mensen, bedrijven of rechtspersonen die verantwoordelijk zijn voor het op de markt brengen van een boek of ander werk voor de verkoop of distributie aan het publiek. Gebruik 'boekverkopers' voor personen die actief waren voor 1800."
"1638","IJslands","Refers to the culture of the modern nation of Iceland, or in general to the cultures that have occupied the island that borders the Arctic Ocean, between Norway and Greenland."
"1719","Litouws","Refers to the culture of the modern nation of Lithuania, or in general to cultures that have occupied the Eastern European state on the Baltic sea."
"1816","naïeve kunst","Verwijst naar kunst die is gemaakt door niet-professionele kunstenaars of ambachtslieden die geen formeel onderricht hebben gevolgd en vaak autodidact zijn. Vooral gekenmerkt door een beperkt inzicht in de anatomie en een gebrek aan beheersing van perspectief en andere kenmerken van opgeleide kunstenaars. Deze kunst omvat schilder-, beeldhouw- en borduurwerk, maar ook quilts, speelgoed, boegbeelden van schepen, lokvogels, geschilderde doelen en andere objecten, en verwijst vaak naar dergelijke objecten gemaakt in de 19e en 20ste eeuw in Europa en Noord-Amerika. Over het algemeen te onderscheiden van 'marginale kunst', die de meer extravagante, psychotische tekeningen en andere kunstuitingen omvat die zijn gemaakt of verzameld volgens een filosofie waarbij veeleer het vermijden van een traditionele training, in plaats van het ontbreken daarvan, centraal staat. Ook te onderscheiden van 'volkskunst', die wordt gemaakt volgens bepaalde culturele tradities."
"1819","Haïtiaans",""
"1895","School van Lombardije",""
"2002","Iraans","Verwijst naar de stijl en cultuur van het moderne Iran. Hoewel het moderne Iran tot 1935 Perzië heette, dateren de kunst en architectuur van oude Iraanse beschavingen uit de prehistorie."
"2241","botanische illustratie","Drawings, prints, or other pictures that illustrate plants and their parts, often accurately rendered from life."
"2618","joods genre","Voorstellingen van het joodse leven, zowel het dagelijks leven als het religieuze."
"2772","Americana",""
"3043","Jugendstil","Verwijst naar de Duitse en Oostenrijkse vorm van de Art Nouveau, vernoemd naar het tijdschrift Jugend in 1896. De stijl wordt gekenmerkt door een meer ingetogen gebruik van decoratie dan de Belgische en Franse Art Nouveau."
"3063","neo-impressionisme","Verwijst naar een schilderstijl en kunsttheorie die wordt geassocieerd met een groep Franse kunstenaars die tussen 1886 en 1906 werkzaam waren. De term werd voor het eerst vermeld door Félix Fénéon, in een recensie van de achtste en tevens laatste impressionistische tentoonstelling van 1886. Door het gezamenlijk exposeren van hun werk binnen één ruimte benadrukten Camille Pissarro, Lucien Pissarro, Paul Signac en Georges Seurat dat ze dezelfde visie onderschreven. Andere kunstenaars die in deze stijl werkten, waren Charles Angrand, Louis Hayet, Henri Edmond Cross, Léo Gausson, Hippolyte Petitjean, Albert Dubois en Maximilien Luce. Seurat wordt als de belangrijkste exponent van deze stroming beschouwd. Het neo-impressionisme ontwikkelde zich uit het impressionisme, maar zette zich er ook tegen af. Evenals bij het impressionisme stonden licht en kleur centraal. Het impressionisme was echter spontaan en empirisch van aard, terwijl het neo-impressionisme zich nadrukkelijk baseerde op wetenschappelijke grondbeginselen, hetgeen resulteerde in composities met een meer formalistisch karakter. De hiermee geassocieerde techniek wordt pointillisme genoemd, terwijl de bijbehorende theorie als divisionisme wordt aangeduid. De twee termen worden echter vaak door elkaar gebruikt en kunnen beide verwijzen naar zowel de stijl als de stroming zelf. Het neo-impressionisme heeft slechts betrekkelijk kort bestaan, maar had wel een grote invloed op andere kunstenaars en stromingen aan het eind van de 19de eeuw en het begin van de 20ste eeuw."
"3103","School van Barbizon","Informele groep schilders met als centrum het dorp Barbizon, aan de rand van het bos van Fontainebleau. De Barbizon-schilders waren beïnvloed door John Constable en door de Hollandse landschapsschilders van de 17de eeuw, en hielden zich vooral bezig met het afbeelden van natuurscÃ¨nes en het boerenleven. Theodore Rousseau, officieus leider van de School, streek in 1841 neer in de omgeving van Fontainebleau en verzamelde daar een groep discipelen om zich heen. Een van hen was Jean-Francois Millet, die later het beroemdste lid van de School van Barbizon zou worden, en in wiens werk het socialistische gedachtegoed het sterkst doorklonk. Hun onconventionele benadering van de onderwerpen had tot gevolg dat het werk van de afzonderlijke leden van de School pas in de jaren 50 van de 19de eeuw genade zou vinden in de ogen van de critici. Het werk van Rousseau werd zelfs zo vaak door de Salons geweigerd dat het hem de bijnaam 'le grand refusé' bezorgde. De beweging was een aantal decennia lang succesvol, maar na de dood van Millet in 1875 taande de populariteit. De School van Barbizon wordt vaak beschouwd als een overgangsstroming tussen de academische landschapsschilderkunst en het impressionisme, maar het belang is vooral gelegen in het feit dat ze in de open lucht schilderden en hun onderwerpen op eenvoudige, pretentieloze wijze benaderden."
"3115","ontwerper","Mensen die conceptuele plannen maken voor de indeling of weergave van grafische werken, voorwerpen, structuren of systemen."
"3252","pointillisme (schildertechniek)","Painting technique whereby tones and hues are obtained by applying regular small touches of unmixed pigment on the canvas so that they combine optically. Pointillism refers only to the technique while Neo-Impressionism refers both to the style created by Georges Seurat and the ensuing movement that flourished between 1886 and 1906. Seurat himself actually peferred the term ""chromo-luminarism, "" conveying his dual interest in intensifying light effects and color effects. The French critic Félix Fénéon coined the term ""peinture au point"" in 1886 after seeing Seurat's ""La Grande Jatte."" Paul Signac offered the alternative term of ""divisionism"" in his book ""D'Eugène Delacroix au Néo-Impressionnisme (1899)."
"3342","kunsthandelaar","Mensen of bedrijven die kunstenaars vertegenwoordigen en kunstwerken kopen en verkopen."
"3493","galerie","Establishments in which works of art are displayed for sale."
"3900","Sloveens","Verwijst naar de cultuur van het hedendaagse Slovenië, of in het algemeen naar de culturen die zich vestigden op het grondgebied in Midden-Europa overeenkomend met het huidige Slovenië. De term kan in een ruimere context verwijzen naar de cultuur van de zuidelijke Slavische volkeren, die zich vestigden in het zuiden van Oostenrijk en in Slovenië."
"4025","kalligraaf",""
"4390","vissersgenre","Voorstellingen waarin het vissersleven wordt uitgebeeld, in het algemeen uit de 19de en vroege 20ste eeuw."
"4448","Sociaal Realisme","Te gebruiken voor de representatieve stijl, gesanctioneerd door regeringen van communistische landen. Gebruik de term 'sociaal realisme' voor werken die realistische situaties tot uitdrukking brengen met een ondertoon van sociaal protest."
"4524","cartograaf","Zij die zich specialiseren in de wetenschap en het ambacht van het kaartenmaken."
"4731","Servisch","Verwijst naar de cultuur van de hedendaagse republiek Servië, of in het algemeen naar de culturen die zich vestigden in het gebied ten zuiden van de Donau op het Balkan-schiereiland. De term kan in breder verband ook verwijzen naar de historische of hedendaagse cultuur van de Servisch-sprekende bevolking in het voormalige Joegoslavië."
"5883","Estlands","Nationality, culture, or style of Estonia, a country stretching along the south coast of the Gulf of Finland."
"6450","Maltees","Nationality, styles, or culture of Malta, a southern European archipelago and currently a nation in the Mediterranean Sea."
"6566","Puertoricaans",""
"6596","vervalser","Criminelen die illegale kopieën maken van papieren documenten of munten. Kan in het algemeen ook verwijzen naar criminelen die iets imiteren met bedrog als oogmerk."
"6730","Boliviaans",""
"6986","School van Avignon",""
"7165","School van Bologna",""
"7348","School van Rome",""
"9247","Tsjechoslowaaks (hist.)","Verwijst naar de stijl en cultuur van de voormalige republiek Tsjecho-Slowakije (1918-1993)."
"9262","Surinaams","Nationality, styles, and culture of Suriname, in northern South America."
"10069","School van Worpswede",""
"10699","Fluxus","Verwijst naar de internationale avant-gardestroming in kunst en literatuur die officieel werd opgericht in 1962 en actief bleef gedurende de gehele jaren 60 en 70. De beweging ontleende haar naam aan het Italiaanse woord voor 'vloeiend' en wilde de wereld zuiveren van burgerlijke, commerciële en professionele kunst. De stijl wordt gekenmerkt door de creatie van multimediale en intermediale werken die werden gebruikt in straatkunst, gebeurtenissen en concerten."
"11572","School van Bergamo",""
"12329","Slowaaks","Nationality, culture, or styles of Slovakia, in Central Europe."
"13680","Lets","Nationality, culture, or style of Latvia, in the Baltic region of northern Europe."
"14094","Fundamentele Schilderkunst",""
"14997","Arte Povera","Verwijst naar de Italiaanse kunststroming in de jaren 70 van de 20ste eeuw naar analogie van de minimalistische en conceptualistische beweging in Noord-Amerika. De stijl kenmerkt zich door het opzettelijk gebruik van eenvoudige en nutteloze materialen, en door kunstzinnige expressie door middel van gebeurtenissen en installaties, vaak met obscure of tegenstrijdige betekenissen."
"16157","Peruaans","Van of behorend tot het land Peru of de Peruanen."
"16703","Donauschool","Verwijst naar een schilderstijl die gedurende de renaissance en Reformatie in het Duitse Regensburg en op andere plaatsen langs de Donau tot ontwikkeling kwam. De stijl wordt gekenmerkt door een hernieuwde belangstelling voor de middeleeuwse vroomheid, een expressief gebruik van de natuur, de relatie tussen de mens of gebeurtenissen en de natuur, en de introductie van het landschap als centraal thema in de kunst. De term is bedacht door Theodor von Frimmel (1853-1928), die van mening was dat de schilderstijlen in de Donauregio rond Regensburg, Passau en Linz gemeenschappelijke kenmerken bezat. Hoewel de voornaamste kunstenaars uit deze regio niet in formele zin tot een school behoorden - het werk kwam niet uit één bepaald atelier of één kunstcentrum - lijkt er niettemin sprake te zijn van een stijl. De belangrijkste vertegenwoordigers van deze stijl zijn Lucas Cranach de Oudere en Albrecht Altdorfer."
"16736","landschapskunst","Gebruik deze term voor kunstwerken, soms tijdelijk van aard, vanaf het midden van de jaren zestig van de 20ste eeuw, die in en met de natuur tot stand zijn gekomen; soms met directe ingrepen, soms met meer immateriële ingrepen (bijvoorbeeld wandelingen) waarbij tijd en/of groeiprocessen een rol spelen. Veelal grote projecten die, als ze tijdelijk of immaterieel zijn, d.m.v. fotografie of film worden gedocumenteerd. Gebruik voor algemenere kunstwerken waarbij de omgeving wordt gebruikt 'omgevingskunst'."
"17166","tachisme","Te gebruiken voor Franse schilderkunst die lijkt op Amerikaanse Action Painting, met inbegrip van die uit het eind van de veertiger jaren die soms abstraction lyrique wordt genoemd. Gebruik de term 'lyrische abstractie' voor het abstract expressionisme dat is voortgezet tot de jaren zestig en zeventig (bv. Guston en Frankenthaler)."
"19859","Uruguayaans",""
"20547","School van Pont-Aven",""
"22457","Vietnamees","Verwijst naar de culturen die zich ontwikkelden in de regio die is gesitueerd langs de oosterse kust van het Indochinese schiereiland en die tegenwoordig bekendstaat als Vietnam. Artistieke productie in deze regio wordt gekenmerkt door een breed scala aan stijlen en onderlinge vermenging hiervan. Kenmerkend zijn dynastieke tempelconstructie met variaties van torenschrijnen, sanctuaria, portieken, gemodelleerde kapitalen en nissen, alsmede prachtig en verfijnd beeldhouwwerk met monsterfiguren die hoeken van architraven versierden, leeuwenfiguren, robuuste slangachtige ornamentatie die doet denken aan bladmotieven van de Indo-Khmer en aan Dong Song-stijlen, en grote iconen en reliëfpanelen die zijn gebeeldhouwd in sensuele stijlen die doen denken aan Chen-la-werken. Vanaf de 15de tot en met de 18de eeuw, bevatte architecturale planning confucianistische en taoïstische elementen, en beeldhouwkundige stijlen uit deze periode worden gekenmerkt door zeer kleurrijk houtsnijwerk dat is gebaseerd op de draak-en-wolkdecoratie van de Ming- en Ch'ing-dynastieën in China."
"23559","Syrisch","Nationaliteit en cultuur van de moderne natie Syrië, ofwel de Arabische Republiek Syrië."
